query,item_id,item_url,title,authors,certificate_or_type,journal_name,journal_url,issue,issue_url
geoai,87309097,https://elibrary.ru/item.asp?id=87309097,"2ND GEOAI FRONTIER FORUM: “GEODATA AND AI FOR GEOTECHNICAL ENGINEERING”, 29 AUGUST 2025",De Hollanda Cavalcanti Tsuha C.,114 Geodata and AI . 2025. Т. 5. С. 100045.,Geodata and AI,https://elibrary.ru/contents.asp?id=86646508,,
geoai,47747001,https://elibrary.ru/item.asp?id=47747001,OPERATIONAL-SCALE GEOAI FOR PAN-ARCTIC PERMAFROST FEATURE DETECTION FROM HIGH-RESOLUTION SATELLITE IMAGERY,"Udawalpola M., Hasan A., Witharana C., Liljedahl A.K., Soliman A.","115 В сборнике: International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives. 2021. С. 175-180.",,,,
geoai,50204921,https://elibrary.ru/item.asp?id=50204921,GEOAI ТЕХНОЛОГИИ ДЛЯ BI АНАЛИЗА И PROJECT МЕНЕДЖМЕНТА,Дернова О.А.,"116 В сборнике: ПРИМЕНЕНИЕ ГЕОИНФОРМАЦИОННЫХ СИСТЕМ И ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В УПРАВЛЕНИИ: ЭКОЛОГИЯ, ПРИРОДНЫЕ РЕСУРСЫ. Юбилейный сборник трудов научно-практического семинара. Министерство науки и высшего образования Российской Федерации Южно-Уральский государственный университет Научно-образовательный центр «Геоинформационные системы» Кафедра «Международные отношения, политология и регионоведение». 2022. С. 79-88.",,,,
geoai,51678041,https://elibrary.ru/item.asp?id=51678041,EMERGING TRENDS IN GEOSPATIAL ARTIFICIAL INTELLIGENCE (GEOAI): POTENTIAL APPLICATIONS FOR ENVIRONMENTAL EPIDEMIOLOGY,"Vopham T., Hart Ja.E., Laden F., Chiang Ya.",117 Environmental Health . 2018. Т. 17. № 1 . С. 1-6.,Environmental Health,https://elibrary.ru/contents.asp?id=35777269,№ 1,https://elibrary.ru/contents.asp?id=35777269&selid=51678041
geoai,52056345,https://elibrary.ru/item.asp?id=52056345,AN OVERVIEW OF GEOAI APPLICATIONS IN HEALTH AND HEALTHCARE,"Kamel boulos M.N., Peng G., Vopham T.",118 International Journal of Health Geographics . 2019. Т. 18. № 1 . С. 1-9.,International Journal of Health Geographics,https://elibrary.ru/contents.asp?id=42054693,№ 1,https://elibrary.ru/contents.asp?id=42054693&selid=52056345
geoai,55269855,https://elibrary.ru/item.asp?id=55269855,GEOAI: A REVIEW OF ARTIFICIAL INTELLIGENCE APPROACHES FOR THE INTERPRETATION OF COMPLEX GEOMATICS DATA,"Pierdicca R., Paolanti M.","119 Geoscientific Instrumentation, Methods and Data Systems . 2022. Т. 11. № 1 . С. 195-218.","Geoscientific Instrumentation, Methods and Data Systems",https://elibrary.ru/contents.asp?id=48303302,№ 1,https://elibrary.ru/contents.asp?id=48303302&selid=55269855
geoai,56166083,https://elibrary.ru/item.asp?id=56166083,GEOAI TO IMPLEMENT AN INDIVIDUAL TREE INVENTORY: FRAMEWORK AND APPLICATION OF HEAT MITIGATION,"Das Sh., Sun Q.Ch., Zhou H.",120 Urban Forestry & Urban Greening . 2022. Т. 74. С. 127634.,Urban Forestry & Urban Greening,https://elibrary.ru/contents.asp?id=49123122,,
geoai,56669592,https://elibrary.ru/item.asp?id=56669592,EXPLAINABLE ARTIFICIAL INTELLIGENCE IN THE SPATIAL DOMAIN ( X-GEOAI ),"Papadakis E., Adams B., Gao S., Martins B., Baryannis G., Ristea A.",121 Transactions in GIS . 2022. Т. 26. № 6 . С. 2413-2414.,Transactions in GIS,https://elibrary.ru/contents.asp?id=56435696,№ 6,https://elibrary.ru/contents.asp?id=56435696&selid=56669592
geoai,56925365,https://elibrary.ru/item.asp?id=56925365,A GIS PIPELINE TO PRODUCE GEOAI DATASETS FROM DRONE OVERHEAD IMAGERY,"Ballesteros J.R., Sanchez-Torres G., Branch-Bedoya J.W.",122 ISPRS International Journal of Geo-Information . 2022. Т. 11. № 10 . С. 508.,ISPRS International Journal of Geo-Information,https://elibrary.ru/contents.asp?id=56481693,№ 10,https://elibrary.ru/contents.asp?id=56481693&selid=56925365
geoai,57403874,https://elibrary.ru/item.asp?id=57403874,"GEOAI, COUNTER-AI, AND HUMAN GEOGRAPHY: A CONVERSATION","Janowicz K., Sieber R., Crampton J.",123 Dialogues in Human Geography . 2022. Т. 12. № 3 . С. 446-458.,Dialogues in Human Geography,https://elibrary.ru/contents.asp?id=54963694,№ 3,https://elibrary.ru/contents.asp?id=54963694&selid=57403874
geoai,57651645,https://elibrary.ru/item.asp?id=57651645,GEOAI FOR LARGE-SCALE IMAGE ANALYSIS AND MACHINE VISION: RECENT PROGRESS OF ARTIFICIAL INTELLIGENCE IN GEOGRAPHY,"Li W., Hsu Ch.Yu.",124 ISPRS International Journal of Geo-Information . 2022. Т. 11. № 7 . С. 385.,ISPRS International Journal of Geo-Information,https://elibrary.ru/contents.asp?id=55487429,№ 7,https://elibrary.ru/contents.asp?id=55487429&selid=57651645
geoai,57651913,https://elibrary.ru/item.asp?id=57651913,AN OPTIMAL GEOAI WORKFLOW FOR PAN-ARCTIC PERMAFROST FEATURE DETECTION FROM HIGH-RESOLUTION SATELLITE IMAGERY,"Udawalpola M.R., Hasan A., Liljedahl A., Soliman A., Terstriep J., Witharana Ch.",125 Photogrammetric Engineering and Remote Sensing . 2022. Т. 88. № 3 . С. 181-188.,Photogrammetric Engineering and Remote Sensing,https://elibrary.ru/contents.asp?id=55552027,№ 3,https://elibrary.ru/contents.asp?id=55552027&selid=57651913
geoai,58337954,https://elibrary.ru/item.asp?id=58337954,GEOAI TO IMPLEMENT INDIVIDUAL TREE INVENTORY: FRAMEWORK AND APPLICATION OF HEAT MITIGATION,"Das Sh., Sun Q.Ch., Zhou H.",126 Статья в открытом архиве № 4030575,,,,
geoai,58964454,https://elibrary.ru/item.asp?id=58964454,A REVIEW OF LOCATION ENCODING FOR GEOAI: METHODS AND APPLICATIONS,"Mai G., Janowicz K., Hu Y., Gao S., Yan Bo., Zhu R., Cai L., Lao Ni.",127 International Journal of Geographical Information Science . 2022. Т. 36. № 4 . С. 639-673.,International Journal of Geographical Information Science,https://elibrary.ru/contents.asp?id=58964452,№ 4,https://elibrary.ru/contents.asp?id=58964452&selid=58964454
geoai,59133826,https://elibrary.ru/item.asp?id=59133826,SYMBOLIC AND SUBSYMBOLIC GEOAI : GEOSPATIAL KNOWLEDGE GRAPHS AND SPATIALLY EXPLICIT MACHINE LEARNING,"Mai G., Hu Y., Gao S., Cai L., Martins B., Scholz J., Gao J., Janowicz K.",128 Transactions in GIS . 2022. Т. 26. № 8 . С. 3118-3124.,Transactions in GIS,https://elibrary.ru/contents.asp?id=55625231,№ 8,https://elibrary.ru/contents.asp?id=55625231&selid=59133826
geoai,59454515,https://elibrary.ru/item.asp?id=59454515,A REVIEW OF SPATIALLY-EXPLICIT GEOAI APPLICATIONS IN URBAN GEOGRAPHY,"Liu P., Biljecki F.",129 International Journal of Applied Earth Observation and Geoinformation . 2022. Т. 112. С. 102936.,International Journal of Applied Earth Observation and Geoinformation,https://elibrary.ru/contents.asp?id=56288450,,
geoai,59735282,https://elibrary.ru/item.asp?id=59735282,GEOIMAGENET: A MULTI-SOURCE NATURAL FEATURE BENCHMARK DATASET FOR GEOAI AND SUPERVISED MACHINE LEARNING,"Li W., Wang S., Arundel S.T., Hsu Ch.Yu.",130 GeoInformatica . 2023. Т. 27. № 3 . С. 619-640.,GeoInformatica,https://elibrary.ru/contents.asp?id=59713119,№ 3,https://elibrary.ru/contents.asp?id=59713119&selid=59735282
geoai,60086827,https://elibrary.ru/item.asp?id=60086827,SMART CITY RE-IMAGINED: CITY PLANNING AND GEOAI IN THE AGE OF BIG DATA,"Mortaheb R., Jankowski P.",131 Journal of Urban Management . 2023. Т. 12. № 1 . С. 4-15.,Journal of Urban Management,https://elibrary.ru/contents.asp?id=60086826,№ 1,https://elibrary.ru/contents.asp?id=60086826&selid=60086827
geoai,60427822,https://elibrary.ru/item.asp?id=60427822,GEOAI AS COLLABORATIVE EFFORT,"Richter K.F., Scheider S., Tuia D.",132 KI - Künstliche Intelligenz . 2023. Т. 37. № 1 . С. 99-105.,KI - Künstliche Intelligenz,https://elibrary.ru/contents.asp?id=60427821,№ 1,https://elibrary.ru/contents.asp?id=60427821&selid=60427822
geoai,60523485,https://elibrary.ru/item.asp?id=60523485,CURRENT TOPICS AND CHALLENGES IN GEOAI,"Richter K.F., Scheider S.",133 KI - Künstliche Intelligenz . 2023. Т. 37. № 1 . С. 11-16.,KI - Künstliche Intelligenz,https://elibrary.ru/contents.asp?id=60427821,№ 1,https://elibrary.ru/contents.asp?id=60427821&selid=60523485
